Symbol,Name,Country,Sector,Industry
DINO,HF Sinclair Corporation Common Stock,United States,Energy,Natural Gas Distribution
DIS,Walt Disney Company (The) Common Stock,United States,Consumer Discretionary,Movies/Entertainment
DK,Delek US Holdings Inc. Common Stock,United States,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,Energy,Natural Gas Distribution
DKS,Dick's Sporting Goods Inc Common Stock,United States,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,United States,Technology,EDP Services
DLNG,Dynagas LNG Partners LP Common Units,Greece,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,Greece,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,Greece,,
DLR,Digital Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,United States,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,United States,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,United States,,
DLX,Deluxe Corporation Common Stock,United States,Consumer Discretionary,Advertising
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,United States,Technology,Computer peripheral equipment
DMA,Destra Multi-Alternative Fund Common Stock,,Finance,Trusts Except Educational Religious and Charitable
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,,Finance,Trusts Except Educational Religious and Charitable
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,Finance,Finance: Consumer Services
DNMR,Danimer Scientific Inc. Common Stock,United States,Industrials,Major Chemicals
DNOW,DNOW Inc. Common Stock,United States,Industrials,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,United States,Finance,Investment Managers
DO,Diamond Offshore Drilling Inc. Common Stock,United States,Energy,Oil & Gas Production
DOC,Healthpeak Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,United States,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,United States,Technology,EDP Services
DOLE,Dole plc Ordinary Shares,Ireland,Consumer Staples,Farming/Seeds/Milling
DOMA,Doma Holdings Inc. Common Stock,United States,Finance,Specialty Insurers
DOUG,Douglas Elliman Inc. Common Stock,United States,Finance,Real Estate
DOV,Dover Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,United States,Industrials,Major Chemicals
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,United States,Finance,Trusts Except Educational Religious and Charitable
DPZ,Domino's Pizza Inc Common Stock,United States,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,Technology,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,South Africa,Basic Materials,Precious Metals
DRH,Diamondrock Hospitality Company Common Stock,United States,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,United States,,
DRI,Darden Restaurants Inc. Common Stock,United States,Consumer Discretionary,Restaurants
DRQ,Dril-Quip Inc. Common Stock,United States,Industrials,Metal Fabrications
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,United States,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,United States,Finance,Investment Managers
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,United States,Finance,Finance Companies
DSX,Diana Shipping inc. common stock,Greece,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),Greece,,
DT,Dynatrace Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,Utilities,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
DTE,DTE Energy Company Common Stock,United States,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,United States,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,United States,Utilities,Electric Utilities: Central
DTM,DT Midstream Inc. Common Stock ,United States,Utilities,Natural Gas Distribution
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,Utilities,Power Generation
DV,DoubleVerify Holdings Inc. Common Stock,United States,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,United States,Health Care,Misc Health and Biotechnology Services
DVN,Devon Energy Corporation Common Stock,United States,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,
DXC,DXC Technology Company Common Stock ,United States,Technology,EDP Services
DXYZ,Destiny Tech100 Inc. Common Stock,,,
DY,Dycom Industries Inc. Common Stock,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction
E,ENI S.p.A. Common Stock,Italy,Energy,Oil & Gas Production
EAF,GrafTech International Ltd. Common Stock,United States,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,United States,Utilities,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EAT,Brinker International Inc. Common Stock,United States,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,United States,Technology,EDP Services
EBF,Ennis Inc. Common Stock,United States,Consumer Discretionary,Office Equipment/Supplies/Services
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),Brazil,Utilities,Electric Utilities: Central
EBS,Emergent Biosolutions Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
EC,Ecopetrol S.A. American Depositary Shares,Colombia,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,,Finance,Trusts Except Educational Religious and Charitable
ECC           ,Eagle Point Credit Company Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,United States,,
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,United States,Finance,Trusts Except Educational Religious and Charitable
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,United States,,
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,United States,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,United States,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,United States,Finance,Trusts Except Educational Religious and Charitable
ECL,Ecolab Inc. Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
ECO,Okeanis Eco Tankers Corp. Common Stock,,Consumer Discretionary,Marine Transportation
ECVT,Ecovyst Inc. Common Stock,United States,Industrials,Major Chemicals
ED,Consolidated Edison Inc. Common Stock,United States,Utilities,Power Generation
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,United States,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Argentina,Utilities,Electric Utilities: Central
EDR,Endeavor Group Holdings Inc. Class A Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),China,Real Estate,Other Consumer Services
EE,Excelerate Energy Inc. Class A Common Stock,United States,Utilities,Oil/Gas Transmission
EEA,The European Equity Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
EEX,Emerald Holding Inc. Common Stock,United States,Consumer Discretionary,Advertising
EFC,Ellington Financial Inc. Common Stock ,United States,Real Estate,Real Estate Investment Trusts
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,
EFC^C,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,
EFC^D,Ellington Financial Inc. 7.00% Series D Cumulative Perpetual Redeemable Preferred Stock,United States,,
EFC^E,Ellington Financial Inc. 8.250% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EFX,Equifax Inc. Common Stock,United States,Finance,Finance: Consumer Services
EFXT,Enerflex Ltd Common Shares,Canada,Industrials,Industrial Machinery/Components
EG,Everest Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
EGO,Eldorado Gold Corporation Ordinary Shares,Canada,,
EGP,EastGroup Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
EGY,VAALCO Energy Inc.  Common Stock,United States,Energy,Oil & Gas Production
EHAB,Enhabit Inc. Common Stock,United States,Health Care,Medical/Nursing Services
EHC,Encompass Health Corporation Common Stock,United States,Health Care,Hospital/Nursing Management
EHI,Western Asset Global High Income Fund Inc Common Stock,United States,Finance,Investment Managers
EIC,Eagle Point Income Company Inc. Common Stock,,Finance,Finance/Investors Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,,Finance,Finance/Investors Services
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,,,
EICC,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,,,
EIG,Employers Holdings Inc Common Stock,United States,Finance,Property-Casualty Insurers
EIX,Edison International Common Stock,United States,Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
ELAN,Elanco Animal Health Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,United States,Utilities,Electric Utilities: Central
ELF,e.l.f. Beauty Inc. Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
ELME,Elme Communities Common Stock,United States,Real Estate,Real Estate Investment Trusts
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Brazil,Utilities,Electric Utilities: Central
ELPC,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),Brazil,Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ELV,Elevance Health Inc. Common Stock,United States,Health Care,Medical Specialities
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,United States,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,United States,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,United States,Finance,Finance/Investors Services
EMN,Eastman Chemical Company Common Stock,United States,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,United States,Finance,Investment Managers
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,United States,Utilities,Electric Utilities: Central
EMR,Emerson Electric Company Common Stock,United States,Technology,Consumer Electronics/Appliances
ENB,Enbridge Inc Common Stock,Canada,Energy,Natural Gas Distribution
ENFN,Enfusion Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),Chile,Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,United States,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,United States,Utilities,Natural Gas Distribution
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,United States,Utilities,Power Generation
ENOV,Enovis Corporation Common Stock,United States,Industrials,Fluid Controls
ENR,Energizer Holdings Inc. Common Stock,United States,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys Common Stock,United States,Technology,Industrial Machinery/Components
ENV,Envestnet Inc Common Stock,United States,Consumer Discretionary,Business Services
ENVA,Enova International Inc. Common Stock,United States,Finance,Finance: Consumer Services
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),United States,Health Care,Medical Specialities
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,United States,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,,Finance,Trusts Except Educational Religious and Charitable
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,United States,Finance,Investment Managers
EP^C,El Paso Corporation Preferred Stock,United States,,
EPAC,Enerpac Tool Group Corp. Common Stock,United States,Technology,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,United States,Technology,EDP Services
EPC,Edgewell Personal Care Company Common Stock,United States,Consumer Discretionary,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,United States,Utilities,Natural Gas Distribution
EPR,EPR Properties Common Stock,United States,Real Estate,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,United States,,
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,United States,,
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,United States,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
EQBK,Equity Bancshares Inc. Class A Common Stock,United States,Finance,Major Banks
EQC,Equity Commonwealth Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EQC^D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,United States,,
EQH,Equitable Holdings Inc. Common Stock,United States,Finance,Specialty Insurers
EQH^A,Equitable Holdings Inc. Depositary Shares,United States,,
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,United States,,
EQNR,Equinor ASA,Norway,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,United States,Real Estate,Real Estate Investment Trusts
EQS,Equus Total Return Inc. Common Stock,United States,Finance,Finance Companies
EQT,EQT Corporation Common Stock,United States,Energy,Oil & Gas Production
ERJ,Embraer S.A. Common Stock,Brazil,Industrials,Aerospace
ERO,Ero Copper Corp. Common Shares,,,
ES,Eversource Energy (D/B/A) Common Stock,United States,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation Common Stock,United States,Industrials,Industrial Machinery/Components
ESE,ESCO Technologies Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
ESI,Element Solutions Inc. Common Stock,United States,Industrials,Major Chemicals
ESNT,Essent Group Ltd. Common Shares,Bermuda,Finance,Property-Casualty Insurers
ESRT,Empire State Realty Trust Inc. Class A Common Stock,United States,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
ESTC,Elastic N.V. Ordinary Shares,United States,Technology,Computer Software: Prepackaged Software
ET,Energy Transfer LP Common Units ,United States,Utilities,Natural Gas Distribution
ET^I,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,United States,,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Bankers/Brokers/Service
ETD,Ethan Allen Interiors Inc. Common Stock,United States,Consumer Discretionary,Home Furnishings
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
ETI^,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,United States,,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,Technology,Industrial Machinery/Components
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,United States,Finance,Investment Managers
ETR,Entergy Corporation Common Stock,United States,Utilities,Electric Utilities: Central
ETRN,Equitrans Midstream Corporation Common Stock ,United States,Utilities,Natural Gas Distribution
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,United States,Finance,Investment Bankers/Brokers/Service
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,United States,Finance,Investment Bankers/Brokers/Service
ETWO,E2open Parent Holdings Inc.Class A Common Stock,United States,Technology,EDP Services
ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,,Finance,Investment Managers
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EURN,Euronav NV Ordinary Shares,,Consumer Discretionary,Marine Transportation
EVA,Enviva Inc. Common Stock,United States,Basic Materials,Forest Products
EVC,Entravision Communications Corporation Common Stock,United States,Industrials,Broadcasting
EVEX,Eve Holding Inc. Common Stock,,Industrials,Aerospace
EVF,Eaton Vance Senior Income Trust Common Stock,United States,Finance,Investment Bankers/Brokers/Service
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,United States,Finance,Investment Managers
EVH,Evolent Health Inc Class A Common Stock,United States,Consumer Discretionary,Other Consumer Services
EVN,Eaton Vance Municipal Income Trust Common Stock,United States,Finance,Investment Managers
EVR,Evercore Inc. Class A Common Stock,United States,Finance,Investment Managers
EVRI,Everi Holdings Inc. Common Stock,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EVTC,Evertec Inc. Common Stock,Puerto Rico,Technology,EDP Services
EVTL,Vertical Aerospace Ltd. Ordinary Shares,,Industrials,Aerospace
EW,Edwards Lifesciences Corporation Common Stock,United States,Health Care,Industrial Specialties
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance Companies
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),Canada,Basic Materials,Precious Metals
EXP,Eagle Materials Inc Common Stock,United States,Industrials,Building Materials
EXPD,Expeditors International of Washington Inc. Common Stock,United States,Consumer Discretionary,Oil Refining/Marketing
EXR,Extra Space Storage Inc Common Stock,United States,Real Estate,Real Estate Investment Trusts
EXTO,Almacenes Exito S.A. American Depositary Share each representing eight (8) Common Shares,,Consumer Discretionary,Department/Specialty Retail Stores
F,Ford Motor Company Common Stock,United States,Consumer Discretionary,Auto Manufacturing
F^B,Ford Motor Company 6.20% Notes due June 1 2059,United States,,
F^C,Ford Motor Company 6% Notes due December 1 2059,United States,,
F^D,Ford Motor Company 6.500% Notes due August 15 2062,United States,,
FAF,First American Corporation (New) Common Stock,United States,Finance,Specialty Insurers
FAM,First Trust/abrdn Global Opportunity Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
FBIN,Fortune Brands Innovations Inc. Common Stock,United States,Basic Materials,Forest Products
FBK,FB Financial Corporation Common Stock,United States,Finance,Major Banks
FBMS,First Bancshares Inc.,United States,Finance,Major Banks
FBP,First BanCorp. New Common Stock,Puerto Rico,Finance,Major Banks
FBRT,Franklin BSP Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
FBRT^E,Franklin BSP Realty Trust Inc. 7.50% Series E Cumulative Redeemable Preferred Stock,United States,,
FC,Franklin Covey Company Common Stock,United States,Consumer Discretionary,Professional Services
FCF,First Commonwealth Financial Corporation Common Stock,United States,Finance,Major Banks
FCN,FTI Consulting Inc. Common Stock,United States,Consumer Discretionary,Professional Services
FCPT,Four Corners Property Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
FCRX,Crescent Capital BDC Inc. 5.00% Notes due 2026,United States,Finance,Finance: Consumer Services
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,United States,Finance,Finance Companies
FCX,Freeport-McMoRan Inc. Common Stock,United States,Basic Materials,Metal Mining
FDP,Fresh Del Monte Produce Inc. Common Stock,Cayman Islands,Consumer Staples,Farming/Seeds/Milling
FDX,FedEx Corporation Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
FE,FirstEnergy Corp. Common Stock,United States,Utilities,Electric Utilities: Central
FEDU,Four Seasons Education (Cayman) Inc. American Depositary Shares each ADS representing 10 ordinary shares,,Real Estate,Other Consumer Services
FENG,Phoenix New Media Limited American Depositary Shares each representing 48 Class A ordinary shares.,China,Industrials,Broadcasting
FERG,Ferguson plc Ordinary Shares,United Kingdom,Miscellaneous,Miscellaneous
FET,Forum Energy Technologies Inc. Common Stock,United States,Industrials,Metal Fabrications
FF,FutureFuel Corp.  Common shares,United States,Industrials,Major Chemicals
FFA,First Trust Enhanced Equity Income Fund,United States,Finance,Investment Managers
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,United States,Finance,Trusts Except Educational Religious and Charitable
FFWM,First Foundation Inc. Common Stock,United States,Finance,Major Banks
FG,F&G Annuities & Life Inc. Common Stock,United States,Finance,Life Insurance
FGB,First Trust Specialty Finance and Financial Opportunities Fund,United States,Finance,Finance/Investors Services
FGN,F&G Annuities & Life Inc. 7.950% Senior Notes due 2053,United States,Finance,Life Insurance
FHI,Federated Hermes Inc. Common Stock,United States,Finance,Investment Managers
FHN,First Horizon Corporation Common Stock,United States,Finance,Major Banks
FHN^B,First Horizon Corporation Depositary Shares each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock Series B,United States,,
FHN^C,First Horizon Corporation Depositary Shares each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock Series C,United States,,
FHN^E,First Horizon Corporation Depositary Shares each representing a 1/4000th interest in a share of Non-Cumulative Perpetual Preferred Stock Series E,United States,,
FHN^F,First Horizon Corporation Depositary Shares each representing 1/4000th Interest in a Share of Non-Cumulative Perpetual Preferred Stock Series F,United States,,
FI,Fiserv Inc. Common Stock,United States,Consumer Discretionary,Business Services
FICO,Fair Isaac Corproation Common Stock,United States,Consumer Discretionary,Business Services
FIGS,FIGS Inc. Class A Common Stock,United States,Consumer Discretionary,Apparel
FIHL,Fidelis Insurance Holdings Limited Common Shares,Bermuda,Finance,Property-Casualty Insurers
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,,Finance,Finance/Investors Services
FINV,FinVolution Group American Depositary Shares,United States,Finance,Finance: Consumer Services
FIS,Fidelity National Information Services Inc. Common Stock,United States,Consumer Discretionary,Business Services
FIX,Comfort Systems USA Inc. Common Stock,United States,Industrials,Engineering & Construction
FL,Foot Locker Inc.,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
FLNG,FLEX LNG Ltd. Ordinary Shares,,Consumer Discretionary,Marine Transportation
FLO,Flowers Foods Inc. Common Stock,United States,Consumer Staples,Packaged Foods
FLR,Fluor Corporation Common Stock,United States,Industrials,Military/Government/Technical
FLS,Flowserve Corporation Common Stock,United States,Industrials,Fluid Controls
FLUT,Flutter Entertainment plc Ordinary Shares,,Technology,Computer Software: Programming Data Processing
FMC,FMC Corporation Common Stock,United States,Industrials,Major Chemicals
FMN,Federated Hermes Premier Municipal Income Fund,United States,Finance,Investment Managers
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),Germany,Health Care,Misc Health and Biotechnology Services
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,Mexico,Consumer Staples,Beverages (Production/Distribution)
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services
FN,Fabrinet Ordinary Shares,Cayman Islands,Utilities,Telecommunications Equipment
FNA,Paragon 28 Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
FNB,F.N.B. Corporation Common Stock,United States,Finance,Major Banks
FND,Floor & Decor Holdings Inc. Common Stock,United States,Consumer Discretionary,RETAIL: Building Materials
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,United States,Finance,Specialty Insurers
FNV,Franco-Nevada Corporation,Canada,,
FOA,Finance of America Companies Inc. Class A Common Stock,United States,Finance,Finance: Consumer Services
FOF,Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock,United States,Finance,Investment Managers
FOR,Forestar Group Inc Common Stock ,United States,Finance,Real Estate
FOUR,Shift4 Payments Inc. Class A Common Stock,United States,Consumer Discretionary,Business Services
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,United States,Finance,Trusts Except Educational Religious and Charitable
FPH,Five Point Holdings LLC Class A Common Shares,United States,Finance,Real Estate
FPI,Farmland Partners Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
FR,First Industrial Realty Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,United States,Finance,Investment Bankers/Brokers/Service
FREY,FREYR Battery Inc. Common Stock,Luxembourg,Miscellaneous,Industrial Machinery/Components
FRGE,Forge Global Holdings Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
FRO,Frontline Plc Ordinary Shares,Bermuda,Consumer Discretionary,Marine Transportation
FRT,Federal Realty Investment Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
FRT^C,Federal Realty Investment Trust Depositary Shares each representing a 1/1000th interest in a 5.000% Series C Cumulative Redeemable Preferred Share,United States,,
FSCO,FS Credit Opportunities Corp. Common Stock,United States,Finance,Trusts Except Educational Religious and Charitable
FSD,First Trust High Income Long Short Fund Common Shares of Beneficial Interest,,Finance,Investment Managers
FSK,FS KKR Capital Corp. Common Stock,United States,Finance,Investment Managers
FSLY,Fastly Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
